question,score2,score1,score0
"Q1. State TRUE or FALSE and justify. No correct justification, no marks.
e. If a parent process forks a new child process, the exec system call cannot be used in the parent process until the child process terminates.","States False and provides a correct justification referencing no marks. e. if parent process forks new child process, justify. no correct justification, and q1. state true (e.g., the causal link / mechanism).","States False OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.",States the wrong truth value or provides an incorrect/irrelevant justification.
A rating curve is only valid when?,"Clearly and specifically addresses the key requirement by covering rating curve only valid when there no over flow, flood region, and rating with accurate details.","Covers some key elements (at least 2 of: rating curve only valid when there no over flow, flood region, and rating) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention rating curve only valid when there no over flow, flood region, and rating."
"c. Assume the OS is using a lazy allocation policy for memory allocation to processes. On a page fault due to an unmapped physical page(and a valid virtual address), the OS handles the page fault (via allocation and updates to the virtual to physical address mappings in the page table) and then executes the next instruction (the one after the faulting instruction).","Clearly and specifically addresses the key requirement by covering executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings with accurate details.","Covers some key elements (at least 2 of: executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention executes faulting instruction. page fault pc not incremented, false fixing mapping only part operations, and oses page fault handler creates mappings."
To segment the rose petals [4 marks]:      ,"Clearly and specifically addresses the key requirement by covering narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5 with accurate details.","Covers some key elements (at least 2 of: narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention narrow range around 0 360 degress, all primary colors pure colors, and broad range around 0.5."
Write three      parameters which      affect MRR in ultrasonic machining ?,"Clearly and specifically addresses the key requirement by covering abrasive slurry concentration, slurry particle diameter, and frequency vibration with accurate details.","Covers some key elements (at least 2 of: abrasive slurry concentration, slurry particle diameter, and frequency vibration) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention abrasive slurry concentration, slurry particle diameter, and frequency vibration."
"a. List and explain two privileged actions that an user process may attempt to perform and which
are prevented by the OS via the limited-directed execution setup.
Note that the user process has to know specifically how to make such an attempt.
(e.g., the user process does not know that a PCB exists and hence may not know how to
update its contents).","Clearly and specifically addresses the key requirement by covering write cr3 register modify page directory pointer, access va lies kernel virtual address range, and write eflags registers modify execution status with accurate details.","Covers some key elements (at least 2 of: write cr3 register modify page directory pointer, access va lies kernel virtual address range, and write eflags registers modify execution status) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention write cr3 register modify page directory pointer, access va lies kernel virtual address range, and write eflags registers modify execution status."
"Consider 5 replicas N1, N2, N3, N4, and N5 running the RAFT protocol to main- tain a consistently replicated log for some application. The nodes have received the fol- lowing entries: a, b, c in term 1, p, q, r s in term 2, and x, y, z in term 3. The content of the logs of nodes N1 to N4 are as follows. N1: (a, b, p, q, x, y), N2: (a, b, p, q, x, y, z),N3: (a, b, p, q, r, s), N4: (a, b, c). The log at N5 is not provided to you.

Which of the nodes was likely not a leader in any of the three terms? Justify your answer.","Clearly and specifically addresses the key requirement by covering n2 could have leader. n1 never leader, n4 could have leader. term 2, and n3 could have leader. term 3 with accurate details.","Covers some key elements (at least 2 of: n2 could have leader. n1 never leader, n4 could have leader. term 2, and n3 could have leader. term 3) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention n2 could have leader. n1 never leader, n4 could have leader. term 2, and n3 could have leader. term 3."
Intercepted precipitation by trees reaches earth by __________ and ____________,"Clearly and specifically addresses the key requirement by covering water falling earth through leaves, flows through stems, and through fall with accurate details.","Covers some key elements (at least 2 of: water falling earth through leaves, flows through stems, and through fall) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention water falling earth through leaves, flows through stems, and through fall."
Two      advantages of separating declaration from definition are: .....,"Clearly and specifically addresses the key requirement by covering overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear with accurate details.","Covers some key elements (at least 2 of: overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear."
"Q1. State TRUE or FALSE and justify. No correct justification, no marks.
d. Without the timer interrupt, the OS still has opportunities to schedule READY processes and share the CPU for multitasking","States True and provides a correct justification referencing os still has opportunities schedule ready processes, no marks. d. without timer interrupt, and justify. no correct justification (e.g., the causal link / mechanism).","States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.",States the wrong truth value or provides an incorrect/irrelevant justification.
What is the need to use homogenous coordinates for 2D transformations?,"Clearly and specifically addresses the key requirement by covering makes it easier computer calculate, uniform matrix representation rotation, and scaling. allow optimization with accurate details.","Covers some key elements (at least 2 of: makes it easier computer calculate, uniform matrix representation rotation, and scaling. allow optimization) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention makes it easier computer calculate, uniform matrix representation rotation, and scaling. allow optimization."
"Q1. State TRUE or FALSE and justify. No correct justification, no marks.
e. If a parent process forks a new child process, the exec system call can be used in the parent process before the child process terminates.","States True and provides a correct justification referencing no marks. e. if parent process forks new child process, justify. no correct justification, and q1. state true (e.g., the causal link / mechanism).","States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.",States the wrong truth value or provides an incorrect/irrelevant justification.
What are the critical issues involved in design of an online compression system for space applications?,"Clearly and specifically addresses the key requirement by covering what critical issues involved design online compression system space applications, communication, and applications with accurate details.","Covers some key elements (at least 2 of: what critical issues involved design online compression system space applications, communication, and applications) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention what critical issues involved design online compression system space applications, communication, and applications."
"Q1. State TRUE or FALSE and justify. No correct justification, no marks.
a. The pipe system call creates two file descriptors fd[0] and fd[1]. Writes using fd[1] can be read using fd[0] but not vice-versa.","States True and provides a correct justification referencing write can only done at fd 1, justification, and descriptors (e.g., the causal link / mechanism).","States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.",States the wrong truth value or provides an incorrect/irrelevant justification.
"Q1. State TRUE or FALSE and justify. No correct justification, no marks.
d. Assuming an user process knows the PID of another task from a pool of several READY processes, it does not have the capability to initiate a context switch and schedule the target process next on the CPU.","States True and provides a correct justification referencing it does not have capability initiate context switch, schedule target process next cpu, and justify. no correct justification (e.g., the causal link / mechanism).","States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.",States the wrong truth value or provides an incorrect/irrelevant justification.
What is the utility of nonlinearly transforming the feature vectors from classification point of view?,"Clearly and specifically addresses the key requirement by covering linear feature can used very basic classifiers like svm efficiently, effectively classify very complex data sets, and introducing non with accurate details.","Covers some key elements (at least 2 of: linear feature can used very basic classifiers like svm efficiently, effectively classify very complex data sets, and introducing non) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention linear feature can used very basic classifiers like svm efficiently, effectively classify very complex data sets, and introducing non."
Define Priority Inversion in single line.,"Clearly and specifically addresses the key requirement by covering higher priority process not getting cpu due lower priority process, because lower priority process holds resource, and inversion with accurate details.","Covers some key elements (at least 2 of: higher priority process not getting cpu due lower priority process, because lower priority process holds resource, and inversion) but lacks clarity or misses essential detail.","Does not address the key requirement or fails to mention higher priority process not getting cpu due lower priority process, because lower priority process holds resource, and inversion."
